

***********    Page Summary   **************
run, id, name, date, time, page, OS name, OS version, browser name, browser version, duration, network, http Request, http response, build DOM, render, total resources, total resources size, total resources duration
Current Run,0,Amazon Home,2022-08-08,16:44:59,https://www.amazon.com/,WINDOWS,10,Chrome,104,4401,173,156,290,2570,1211,287,3008894,120218.39999999898
Base Run,0,Amazon Home,2022-08-07,14:00:13,https://www.amazon.com/,WINDOWS,10,Chrome,104,3314,913,534,279,1506,68,300,2971487,102422.0

***********    Page Type Diff Analysis   **************
type, items, size, duration, comparison result
link,0,0,55.700000000186265,found match
img,-16,40379,20277.29999999865,found match
script,-1,-2971,-188.50000000046566,found match
css,0,0,-4062.499999998603,found match
xmlhttprequest,0,-1,-331.6000000005588,found match
fetch,2,0,322.09999999962747,found match
beacon,2,0,1109.7000000001863,found match
other,0,0,266.0,found match
iframe,0,0,348.19999999995343,found match

***********    Page Resource Diff Analysis   **************
name, type, size, duration, comparison result
https%3A%2F%2Fimages-na.ssl-images-amazon.com%2Fimages%2FI%2F11EIQ5IGqaL._RC%257C01ZTHTZObnL.css%2C41C-I1lXVwL.css%2C31ufSReDtSL.css%2C013z33uKh2L.css%2C017DsKjNQJL.css%2C0131vqwP5UL.css%2C41EWOOlBJ9L.css%2C11TIuySqr6L.css%2C01ElnPiDxWL.css%2C11Qjwq-j69L.css%2C01Dm5eKVxwL.css%2C01IdKcBuAdL.css%2C01y-XAlI%2B2L.css%2C21P6CS3L9LL.css%2C01oDR3IULNL.css%2C41CYNGpGlrL.css%2C01XPHJk60-L.css%2C01smHc51S9L.css%2C21aPhFy%2BriL.css%2C11gneA3MtJL.css%2C21fecG8pUzL.css%2C01ulGzBW88L.css%2C01CFUgsA-YL.css%2C31C80IiXalL.css%2C11qour3ND0L.css%2C11gKCCKQV%2BL.css%2C11061HxnEvL.css%2C11oHt2HYxnL.css%2C01uPgw4sNAL.css%2C11JQtnL-6eL.css%2C116v6uYvN6L.css%2C11jtXRmppwL.css%2C01QrWuRrZ-L.css%2C21zuRztKjtL.css%2C11QyqG8yiqL.css%2C11K24eOJg4L.css%2C11F2%2BOBzLyL.css%2C01890%2BVwk8L.css%2C11Y05DTEL6L.css%2C01cbS3UK11L.css%2C21F85am0yFL.css%2C01giMEP%2BdjL.css_.css%3FAUIClients%2FAmazonUI%23us.not-trident,link,0,64.20000000018626,found match
https%3A%2F%2Fimages-na.ssl-images-amazon.com%2Fimages%2FI%2F41H4XraWzVL._RC%257C71b%2B5XXNBOL.css%2C41j9vvkVW2L.css%2C312TpTsYxPL.css%2C31YZpDCYJPL.css%2C21MKjoYL8wL.css%2C41yQj5y2obL.css%2C01yCq3WXEcL.css%2C11kO7yAgiQL.css%2C31OvHRW%2BXiL.css%2C01XHMOHpK1L.css%2C11iUHDm4--L.css%2C31jJwAF%2ByLL.css%2C01YWmXMYw8L.css_.css%3FAUIClients%2FNavDesktopUberAsset%26eRSuagD1%23desktop.310484-T1,link,0,63.40000000037253,found match
https://images-na.ssl-images-amazon.com/images/I/41Gc3C8UysL.css?AUIClients/AmazonGatewayAuiAssets,link,0,68.5999999998603,found match
https://fls-na.amazon.com/1/batch/1/OP/ATVPDKIKX0DER:130-4087295-1909011:NXS1CN786NFDVZT9NZ6J$uedata=s:%2Frd%2Fuedata%3Fstaticb%26id%3DNXS1CN786NFDVZT9NZ6J:0,img,0,597.5,new
https://images-na.ssl-images-amazon.com/images/G/01/gno/sprites/nav-sprite-global-1x-hm-dsk-reorg._CB405937547_.png,img,0,110.3000000002794,found match
https://m.media-amazon.com/images/I/61GGOdqTzYL._SX1500_.jpg,img,0,116.50000000023283,found match
https://images-na.ssl-images-amazon.com/images/G/01/AmazonExports/Fuji/2021/June/Fuji_Quad_Headset_1x._SY116_CB667159060_.jpg,img,0,163.6999999997206,found match
https://images-na.ssl-images-amazon.com/images/G/01/AmazonExports/Fuji/2021/June/Fuji_Quad_Keyboard_1x._SY116_CB667159063_.jpg,img,0,163.30000000004657,found match
https://images-na.ssl-images-amazon.com/images/G/01/AmazonExports/Fuji/2021/June/Fuji_Quad_Mouse_1x._SY116_CB667159063_.jpg,img,0,152.70000000018626,found match
